"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 31, 2019","1.1487","1.1524","1.1557","1.1478","15.10K","-0.44%"
"Jan 30, 2019","1.1538","1.1481","1.1548","1.1452","13.67K","0.55%"
"Jan 29, 2019","1.1475","1.1474","1.1496","1.1457","9.03K","-0.01%"
"Jan 28, 2019","1.1476","1.1456","1.1492","1.1438","9.61K","0.11%"
"Jan 25, 2019","1.1463","1.1350","1.1465","1.1348","14.63K","1.01%"
"Jan 24, 2019","1.1348","1.1430","1.1440","1.1338","23.07K","-0.77%"
"Jan 23, 2019","1.1436","1.1415","1.1446","1.1402","8.92K","0.18%"
"Jan 22, 2019","1.1415","1.1420","1.1444","1.1388","12.51K","-0.06%"
"Jan 21, 2019","1.1422","1.1419","1.1445","1.1411","-","0.04%"
"Jan 20, 2019","1.1418","1.1419","1.1422","1.1418","-","-0.06%"
"Jan 18, 2019","1.1425","1.1444","1.1465","1.1408","10.38K","-0.17%"
"Jan 17, 2019","1.1445","1.1451","1.1461","1.1425","11.12K","-0.10%"
"Jan 16, 2019","1.1457","1.1467","1.1483","1.1436","11.17K","-0.03%"
"Jan 15, 2019","1.1461","1.1528","1.1550","1.1442","18.81K","-0.57%"
"Jan 14, 2019","1.1527","1.1527","1.1542","1.1511","12.75K","0.00%"
"Jan 11, 2019","1.1527","1.1562","1.1603","1.1520","15.49K","-0.30%"
"Jan 10, 2019","1.1562","1.1610","1.1632","1.1548","15.94K","-0.41%"
"Jan 09, 2019","1.1610","1.1508","1.1624","1.1503","21.44K","0.89%"
"Jan 08, 2019","1.1508","1.1544","1.1551","1.1488","14.59K","-0.34%"
"Jan 07, 2019","1.1547","1.1472","1.1551","1.1472","12.02K","0.70%"
"Jan 04, 2019","1.1467","1.1463","1.1487","1.1413","17.21K","0.05%"
"Jan 03, 2019","1.1461","1.1416","1.1480","1.1376","18.95K","0.41%"
"Jan 02, 2019","1.1414","1.1537","1.1570","1.1396","18.87K","-1.04%"
"Jan 01, 2019","1.1534","1.1538","1.1540","1.1533","-","0.10%"
"Dec 31, 2018","1.1523","1.1514","1.1540","1.1495","8.96K","0.06%"
"Dec 28, 2018","1.1516","1.1507","1.1548","1.1504","12.58K","-0.10%"
"Dec 27, 2018","1.1527","1.1437","1.1532","1.1435","17.11K","0.82%"
"Dec 26, 2018","1.1433","1.1494","1.1503","1.1424","9.13K","-0.55%"
"Dec 25, 2018","1.1496","1.1503","1.1511","1.1486","-","0.03%"
"Dec 24, 2018","1.1493","1.1452","1.1521","1.1447","8.43K","0.36%"
"Dec 21, 2018","1.1452","1.1536","1.1557","1.1439","15.13K","-0.92%"
"Dec 20, 2018","1.1558","1.1469","1.1576","1.1466","18.53K","0.82%"
"Dec 19, 2018","1.1464","1.1459","1.1533","1.1456","16.55K","0.16%"
"Dec 18, 2018","1.1446","1.1437","1.1492","1.1426","10.61K","0.92%"
"Dec 17, 2018","1.1342","1.1305","1.1352","1.1289","0.52K","0.33%"
"Dec 14, 2018","1.1305","1.1357","1.1365","1.1269","4.22K","-0.55%"
"Dec 13, 2018","1.1368","1.1374","1.1395","1.1332","15.01K","-0.04%"
"Dec 12, 2018","1.1372","1.1324","1.1391","1.1319","14.48K","0.35%"
"Dec 11, 2018","1.1332","1.1358","1.1405","1.1311","14.43K","-0.24%"
"Dec 10, 2018","1.1359","1.1403","1.1449","1.1356","14.93K","-0.62%"
"Dec 07, 2018","1.1430","1.1386","1.1432","1.1367","16.30K","0.43%"
"Dec 06, 2018","1.1381","1.1355","1.1420","1.1329","17.56K","0.26%"
